OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.3625,0.4275,449.88077447584885*(x-0.36250000000000004)*(x-0.36250000000000004)*(x-0.36250000000000004)-43.863375511395226*(x-0.36250000000000004)*(x-0.36250000000000004)+0.0*(x-0.36250000000000004)+1.0968654155731201
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.4275,0.4925,-463.4067151673434*(x-0.4275)*(x-0.4275)*(x-0.4275)+45.18215472881602*(x-0.4275)*(x-0.4275)+0.0*(x-0.4275)+1.0350911617279053
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.4925,0.5725,331.7533992230897*(x-0.49250000000000005)*(x-0.49250000000000005)*(x-0.49250000000000005)-39.81040790677074*(x-0.49250000000000005)*(x-0.49250000000000005)+0.0*(x-0.49250000000000005)+1.0987226963043213
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.5725,0.675,-55.72675989255356*(x-0.5725)*(x-0.5725)*(x-0.5725)+8.567989333480112*(x-0.5725)*(x-0.5725)+0.0*(x-0.5725)+1.0137938261032104
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.675,0.7825,-0.044853888500216585*(x-0.675)*(x-0.675)*(x-0.675)-0.05506008266754948*(x-0.675)*(x-0.675)+0.0*(x-0.675)+1.043799638748169
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.7825,0.8574999999999999,63.51598337308513*(x-0.7825)*(x-0.7825)*(x-0.7825)-8.986587422741072*(x-0.7825)*(x-0.7825)-0.013392946020465011*(x-0.7825)+1.0431076288223267
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.8574999999999999,0.8875,267.42903625009916*(x-0.8574999999999999)*(x-0.8574999999999999)*(x-0.8574999999999999)-7.208492631074229*(x-0.8574999999999999)*(x-0.8574999999999999)-0.2895488400108148*(x-0.8574999999999999)+1.0183494091033936
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.8875,0.9025,-57077.76104962242*(x-0.8875)*(x-0.8875)*(x-0.8875)+1284.2496236165152*(x-0.8875)*(x-0.8875)+0.0*(x-0.8875)+1.010395884513855
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.9025,0.9175,109689.07674153859*(x-0.9025000000000001)*(x-0.9025000000000001)*(x-0.9025000000000001)-2468.004226684602*(x-0.9025000000000001)*(x-0.9025000000000001)+0.0*(x-0.9025000000000001)+1.1067146062850952
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.9175,0.9325,-22309.627764256224*(x-0.9175)*(x-0.9175)*(x-0.9175)+519.0267491596983*(x-0.9175)*(x-0.9175)+0.0*(x-0.9175)+0.9216142892837524
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.9325,0.9475,1797.246980429363*(x-0.9325)*(x-0.9325)*(x-0.9325)-42.27938376261573*(x-0.9325)*(x-0.9325)+0.511803733917987*(x-0.9325)+0.9631003141403198
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.9475,0.96,-541.5457120148214*(x-0.9475)*(x-0.9475)*(x-0.9475)+57.759465562901354*(x-0.9475)*(x-0.9475)+0.45656393282933605*(x-0.9475)+0.9673302173614502
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.96,0.97,-45579.04083144129*(x-0.96)*(x-0.96)*(x-0.96)+601.3505615018742*(x-0.96)*(x-0.96)+1.6467010193949192*(x-0.96)+0.9810044765472412
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.97,0.98,63047.52826690657*(x-0.97)*(x-0.97)*(x-0.97)-945.7129240035994*(x-0.97)*(x-0.97)+0.0*(x-0.97)+1.0120275020599365
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.98,0.99,-1564.454630927224*(x-0.98)*(x-0.98)*(x-0.98)+53.63654688910617*(x-0.98)*(x-0.98)+0.0*(x-0.98)+0.9805037379264832
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.99,1.0025,-2171.623820781316*(x-0.99)*(x-0.99)*(x-0.99)+110.56967198980217*(x-0.99)*(x-0.99)+0.6033945485039564*(x-0.99)+0.9843029379844666
3,iterativefit,central,2,0.0,2.5,30.0,50.0,1.0025,1.1,1.004880428314209
3,iterativefit,central,2,0.0,2.5,50.0,70.0,-15.0,0.0,1.1518704891204834
