OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
3,iterativefit,central,1,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,-15.0,0.0,1.48623800278
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.0,0.0975,1.14636003971
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.0975,0.219,-33.4332507751*(x-0.0975)*(x-0.0975)*(x-0.0975)+12.1864199075*(x-0.0975)*(x-0.0975)-1.48065001876*(x-0.0975)+1.1463600397109985
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.219,0.2625,-6762.91765649*(x-0.219)*(x-0.219)*(x-0.219)+441.280377086*(x-0.219)*(x-0.219)+0.0*(x-0.219)+1.0863937139511108
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.2625,0.3055,6471.64667597*(x-0.2625)*(x-0.2625)*(x-0.2625)-447.951472699*(x-0.2625)*(x-0.2625)+0.0*(x-0.2625)+1.3647313117980957
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.3055,0.3525,243.986104794*(x-0.3055)*(x-0.3055)*(x-0.3055)+10.7309215316*(x-0.3055)*(x-0.3055)-2.62560254044*(x-0.3055)+1.051010251045227
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.3525,0.4,-2564.73904432*(x-0.3525)*(x-0.3525)*(x-0.3525)+182.737656908*(x-0.3525)*(x-0.3525)+0.0*(x-0.3525)+0.976642906665802
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.4,0.4505,231.216253375*(x-0.4)*(x-0.4)*(x-0.4)-25.2868238618*(x-0.4)*(x-0.4)+0.0*(x-0.4)+1.114076852798462
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.4505,0.5045,9.20049519753*(x-0.4505)*(x-0.4505)*(x-0.4505)-2.96820274499*(x-0.4505)*(x-0.4505)-0.784991459531*(x-0.4505)+1.07936692237854
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.5045,0.56,163.337355319*(x-0.5045)*(x-0.5045)*(x-0.5045)-11.5162772737*(x-0.5045)*(x-0.5045)-1.025071424*(x-0.5045)+1.029770851135254
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.56,0.617,47.7642933077*(x-0.56)*(x-0.56)*(x-0.56)+0.646243701482*(x-0.56)*(x-0.56)-0.794018535217*(x-0.56)+0.9653295278549194
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.617,0.6755,19.684785778*(x-0.617)*(x-0.617)*(x-0.617)+0.450336854631*(x-0.617)*(x-0.617)-0.254788186378*(x-0.617)+0.9310157299041748
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.6755,0.7345,-337.272571493*(x-0.6755)*(x-0.6755)*(x-0.6755)+29.8486225771*(x-0.6755)*(x-0.6755)+0.0*(x-0.6755)+0.9215927124023438
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.7345,0.794,186.863360131*(x-0.7345)*(x-0.7345)*(x-0.7345)-18.1749099888*(x-0.7345)*(x-0.7345)+0.0*(x-0.7345)+0.9562270641326904
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.794,0.8535,-41.1294154586*(x-0.794)*(x-0.794)*(x-0.794)+3.54124578473*(x-0.794)*(x-0.794)-0.178185256549*(x-0.794)+0.9312451481819153
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.8535,0.9125,130.496351264*(x-0.8535)*(x-0.8535)*(x-0.8535)-15.7306159839*(x-0.8535)*(x-0.8535)-0.193602247397*(x-0.8535)+0.9245163202285767
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.9125,0.976,0.0264782269942*(x-0.9125)*(x-0.9125)*(x-0.9125)-0.337218876895*(x-0.9125)*(x-0.9125)-0.687041537249*(x-0.9125)+0.8851367235183716
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.976,1.1,0.84015661478
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,-15.0,0.0,1.15502691269
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.0,0.09,1.20210683346
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.09,0.2045,-2.43489196238*(x-0.09)*(x-0.09)*(x-0.09)+9.2179481718*(x-0.09)*(x-0.09)-2.01514400429*(x-0.09)+1.2021068334579468
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.2045,0.25,-423.768632547*(x-0.2045)*(x-0.2045)*(x-0.2045)+28.9222091713*(x-0.2045)*(x-0.2045)+0.0*(x-0.2045)+1.0885673761367798
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.25,0.2935,2125.87446732*(x-0.25)*(x-0.25)*(x-0.25)-138.713308993*(x-0.25)*(x-0.25)+0.0*(x-0.25)+1.1085261106491089
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.2935,0.34,-1542.60205965*(x-0.2935)*(x-0.2935)*(x-0.2935)+107.59649366*(x-0.2935)*(x-0.2935)+0.0*(x-0.2935)+1.021032691001892
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.34,0.391,612.235018528*(x-0.34)*(x-0.34)*(x-0.34)-53.1240753159*(x-0.34)*(x-0.34)+0.0*(x-0.34)+1.0985828638076782
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.391,0.445,-37.0054296148*(x-0.391)*(x-0.391)*(x-0.391)+5.59264352549*(x-0.391)*(x-0.391)-0.641385832649*(x-0.391)+1.0416207313537598
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.445,0.5005,79.0617587093*(x-0.445)*(x-0.445)*(x-0.445)-3.32870375339*(x-0.445)*(x-0.445)-0.361103830167*(x-0.445)+1.0174670219421387
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.5005,0.5575,-875.75406834*(x-0.5005)*(x-0.5005)*(x-0.5005)+74.8769728431*(x-0.5005)*(x-0.5005)+0.0*(x-0.5005)+1.0006884336471558
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.5575,0.615,590.773938341*(x-0.5575)*(x-0.5575)*(x-0.5575)-58.6102463904*(x-0.5575)*(x-0.5575)+0.0*(x-0.5575)+1.081780195236206
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.615,0.674,113.142015635*(x-0.615)*(x-0.615)*(x-0.615)-2.55171809574*(x-0.615)*(x-0.615)-0.880439333979*(x-0.615)+1.0003117322921753
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.674,0.734,-509.817291189*(x-0.674)*(x-0.674)*(x-0.674)+45.883556207*(x-0.674)*(x-0.674)+0.0*(x-0.674)+0.9627202749252319
